based on Exam-Qrels
method	exam	+/-	exam-std	n-exam	+/-	n-exam-std	orig_TREC_leaderboard_rank	orig_EXAM_leaderboard_rank
ICT-BERT2	0.611	+/-	0.000	0.000	+/-	0.000	18.000	 
ICT-CKNRM_B	0.611	+/-	0.000	0.000	+/-	0.000	21.000	 
ICT-CKNRM_B50	0.663	+/-	0.000	0.000	+/-	0.000	23.000	 
TUA1-1	0.716	+/-	0.000	0.000	+/-	0.000	10.000	 
TUW19-p1-f	0.676	+/-	0.000	0.000	+/-	0.000	14.000	 
TUW19-p1-re	0.672	+/-	0.000	0.000	+/-	0.000	16.000	 
TUW19-p2-f	0.695	+/-	0.000	0.000	+/-	0.000	17.000	 
TUW19-p2-re	0.681	+/-	0.000	0.000	+/-	0.000	20.000	 
TUW19-p3-f	0.690	+/-	0.000	0.000	+/-	0.000	13.000	 
TUW19-p3-re	0.677	+/-	0.000	0.000	+/-	0.000	15.000	 
UNH_bm25	0.570	+/-	0.000	0.000	+/-	0.000	36.000	 
UNH_exDL_bm25	0.124	+/-	0.000	0.000	+/-	0.000	 	 
bm25base_ax_p	0.656	+/-	0.000	0.000	+/-	0.000	26.000	 
bm25base_p	0.615	+/-	0.000	0.000	+/-	0.000	33.000	 
bm25base_prf_p	0.659	+/-	0.000	0.000	+/-	0.000	28.000	 
bm25base_rm3_p	0.642	+/-	0.000	0.000	+/-	0.000	32.000	 
bm25tuned_ax_p	0.651	+/-	0.000	0.000	+/-	0.000	27.000	 
bm25tuned_p	0.607	+/-	0.000	0.000	+/-	0.000	35.000	 
bm25tuned_prf_p	0.664	+/-	0.000	0.000	+/-	0.000	25.000	 
bm25tuned_rm3_p	0.637	+/-	0.000	0.000	+/-	0.000	31.000	 
idst_bert_p1	0.722	+/-	0.000	0.000	+/-	0.000	1.000	 
idst_bert_p2	0.726	+/-	0.000	0.000	+/-	0.000	2.000	 
idst_bert_p3	0.728	+/-	0.000	0.000	+/-	0.000	3.000	 
idst_bert_pr1	0.717	+/-	0.000	0.000	+/-	0.000	7.000	 
idst_bert_pr2	0.722	+/-	0.000	0.000	+/-	0.000	6.000	 
ms_duet_passage	0.633	+/-	0.000	0.000	+/-	0.000	22.000	 
p_bert	0.717	+/-	0.000	0.000	+/-	0.000	5.000	 
p_exp_bert	0.721	+/-	0.000	0.000	+/-	0.000	8.000	 
p_exp_rm3_bert	0.730	+/-	0.000	0.000	+/-	0.000	4.000	 
runid2	0.549	+/-	0.000	0.000	+/-	0.000	29.000	 
runid3	0.705	+/-	0.000	0.000	+/-	0.000	12.000	 
runid4	0.699	+/-	0.000	0.000	+/-	0.000	11.000	 
runid5	0.557	+/-	0.000	0.000	+/-	0.000	30.000	 
srchvrs_ps_run1	0.627	+/-	0.000	0.000	+/-	0.000	34.000	 
srchvrs_ps_run2	0.699	+/-	0.000	0.000	+/-	0.000	19.000	 
srchvrs_ps_run3	0.655	+/-	0.000	0.000	+/-	0.000	24.000	 
test1	0.716	+/-	0.000	0.000	+/-	0.000	9.000	 
spearman	0.908							
kendall	0.754							
min_rating	3
qrel_file	dl19-exam-3.qrels



