based on Exam-Qrels
method	exam	+/-	exam-std	n-exam	+/-	n-exam-std	orig_TREC_leaderboard_rank	orig_EXAM_leaderboard_rank
1	0.756	+/-	0.000	0.000	+/-	0.000	18.000	 
2	0.744	+/-	0.000	0.000	+/-	0.000	25.000	 
CoRT-bm25	0.664	+/-	0.000	0.000	+/-	0.000	38.000	 
CoRT-electra	0.781	+/-	0.000	0.000	+/-	0.000	9.000	 
CoRT-standalone	0.630	+/-	0.000	0.000	+/-	0.000	39.000	 
DLH_d_5_t_25	0.641	+/-	0.000	0.000	+/-	0.000	46.000	 
DoRA_Large	0.171	+/-	0.000	0.000	+/-	0.000	59.000	 
DoRA_Large_1k	0.468	+/-	0.000	0.000	+/-	0.000	56.000	 
DoRA_Med	0.171	+/-	0.000	0.000	+/-	0.000	58.000	 
DoRA_Small	0.181	+/-	0.000	0.000	+/-	0.000	57.000	 
NLE_pr1	0.777	+/-	0.000	0.000	+/-	0.000	17.000	 
NLE_pr2	0.783	+/-	0.000	0.000	+/-	0.000	16.000	 
NLE_pr3	0.786	+/-	0.000	0.000	+/-	0.000	12.000	 
RMIT-Bart	0.776	+/-	0.000	0.000	+/-	0.000	10.000	 
TF_IDF_d_2_t_50	0.619	+/-	0.000	0.000	+/-	0.000	53.000	 
TUW-TK-2Layer	0.722	+/-	0.000	0.000	+/-	0.000	34.000	 
TUW-TK-Sparse	0.682	+/-	0.000	0.000	+/-	0.000	33.000	 
bcai_bertl_pass	0.762	+/-	0.000	0.000	+/-	0.000	23.000	 
bcai_class_pass	0.647	+/-	0.000	0.000	+/-	0.000	41.000	 
bert_6	0.691	+/-	0.000	0.000	+/-	0.000	37.000	 
bigIR-BERT-R	0.758	+/-	0.000	0.000	+/-	0.000	19.000	 
bigIR-DCT-T5-F	0.741	+/-	0.000	0.000	+/-	0.000	21.000	 
bigIR-T5-BERT-F	0.766	+/-	0.000	0.000	+/-	0.000	26.000	 
bigIR-T5-R	0.755	+/-	0.000	0.000	+/-	0.000	24.000	 
bigIR-T5xp-T5-F	0.745	+/-	0.000	0.000	+/-	0.000	27.000	 
bl_bcai_mdl1_vs	0.636	+/-	0.000	0.000	+/-	0.000	42.000	 
bl_bcai_mdl1_vt	0.650	+/-	0.000	0.000	+/-	0.000	40.000	 
bm25_bert_token	0.585	+/-	0.000	0.000	+/-	0.000	51.000	 
fr_pass_roberta	0.758	+/-	0.000	0.000	+/-	0.000	20.000	 
indri-fdm	0.652	+/-	0.000	0.000	+/-	0.000	43.000	 
indri-lmds	0.649	+/-	0.000	0.000	+/-	0.000	47.000	 
indri-sdm	0.642	+/-	0.000	0.000	+/-	0.000	48.000	 
med_1k	0.474	+/-	0.000	0.000	+/-	0.000	55.000	 
nlm-bert-rr	0.750	+/-	0.000	0.000	+/-	0.000	30.000	 
nlm-ens-bst-2	0.759	+/-	0.000	0.000	+/-	0.000	28.000	 
nlm-ens-bst-3	0.753	+/-	0.000	0.000	+/-	0.000	29.000	 
nlm-prfun-bert	0.728	+/-	0.000	0.000	+/-	0.000	32.000	 
p_bm25	0.598	+/-	0.000	0.000	+/-	0.000	50.000	 
p_bm25rm3	0.625	+/-	0.000	0.000	+/-	0.000	49.000	 
p_bm25rm3_duo	0.754	+/-	0.000	0.000	+/-	0.000	8.000	 
p_d2q_bm25	0.699	+/-	0.000	0.000	+/-	0.000	35.000	 
p_d2q_bm25_duo	0.776	+/-	0.000	0.000	+/-	0.000	6.000	 
p_d2q_bm25rm3	0.693	+/-	0.000	0.000	+/-	0.000	36.000	 
p_d2q_rm3_duo	0.773	+/-	0.000	0.000	+/-	0.000	7.000	 
pash_f1	0.785	+/-	0.000	0.000	+/-	0.000	4.000	 
pash_f2	0.786	+/-	0.000	0.000	+/-	0.000	5.000	 
pash_f3	0.786	+/-	0.000	0.000	+/-	0.000	3.000	 
pash_r1	0.775	+/-	0.000	0.000	+/-	0.000	11.000	 
pash_r2	0.776	+/-	0.000	0.000	+/-	0.000	2.000	 
pash_r3	0.778	+/-	0.000	0.000	+/-	0.000	1.000	 
pinganNLP1	0.776	+/-	0.000	0.000	+/-	0.000	15.000	 
pinganNLP2	0.776	+/-	0.000	0.000	+/-	0.000	13.000	 
pinganNLP3	0.768	+/-	0.000	0.000	+/-	0.000	14.000	 
relemb_mlm_0_2	0.739	+/-	0.000	0.000	+/-	0.000	31.000	 
rr-pass-roberta	0.768	+/-	0.000	0.000	+/-	0.000	22.000	 
small_1k	0.490	+/-	0.000	0.000	+/-	0.000	54.000	 
terrier-BM25	0.641	+/-	0.000	0.000	+/-	0.000	45.000	 
terrier-DPH	0.650	+/-	0.000	0.000	+/-	0.000	52.000	 
terrier-InL2	0.649	+/-	0.000	0.000	+/-	0.000	44.000	 
spearman	0.955							
kendall	0.836							
min_rating	4
qrel_file	dl20-exam-4.qrels



